Species_1	Start_1	End_1	Species_2	Start_2	End_2	fill
1	13435149	13490548	1	13532342	13587698	cccccc
1	16711092	16767823	1	16713457	16772489	cccccc
1	57627523	57704731	1	58015253	58093180	cccccc
1	55665737	55743825	1	56043732	56123135	cccccc
1	54345015	54423410	1	54673949	54752411	cccccc
1	15999760	16092230	1	16029957	16123909	cccccc
1	15112036	15207125	1	15160672	15270209	cccccc
1	57842052	57944337	1	58169169	58273210	cccccc
1	3456731	3559912	1	3572758	3675950	cccccc
1	4334889	4439503	1	4449047	4554928	cccccc
1	54814385	54941776	1	55170697	55301607	cccccc
1	55146258	55275601	1	55520836	55658660	cccccc
1	67490312	67628860	1	67850527	67985671	cccccc
1	15453000	15601040	1	15521733	15675807	cccccc
1	68311760	68460450	1	68699032	68847310	cccccc
1	57434785	57600129	1	57822642	57990543	cccccc
1	3587711	3786213	1	3699948	3907044	cccccc
1	42348	242791	1	183583	376190	cccccc
1	54941773	55146347	1	55309050	55512183	cccccc
1	15218537	15443812	1	15286102	15514554	cccccc
1	13499583	13743190	1	13591763	13855021	cccccc
1	15735638	15989307	1	15776469	16028123	cccccc
1	2653133	2913991	1	2783899	3040879	cccccc
1	19788581	20110302	1	19840129	20167199	cccccc
1	13743307	14071634	1	13855150	14184935	cccccc
1	54461091	54811993	1	54788765	55152849	cccccc
1	55288197	55654077	1	55671899	56043728	cccccc
1	4459646	4851874	1	4558937	4950098	cccccc
1	14632441	15070937	1	14721064	15107166	cccccc
1	56930258	57433357	1	57294752	57812961	cccccc
1	14122167	14628420	1	14196212	14721066	cccccc
1	3820570	4334000	1	3949988	4433775	cccccc
1	18255180	18781652	1	18705726	19204449	cccccc
1	2917166	3452804	1	3045479	3568831	cccccc
1	19170140	19712438	1	19286125	19823268	cccccc
1	62726266	63274340	1	63172537	63724859	cccccc
1	16115418	16680283	1	16154120	16653882	cccccc
1	67647731	68310619	1	68021360	68684220	cccccc
1	1906639	2650695	1	2033861	2781795	cccccc
1	247397	1021709	1	385437	1164074	cccccc
1	11154464	11968216	1	11309736	12130882	cccccc
1	1034829	1903379	1	1164849	2031693	cccccc
1	64833004	65826743	1	65204876	66212632	cccccc
1	69893899	70908675	1	70268018	71276795	cccccc
